variable,description,detail,allowedSuffix,valueType,allowedValues,valueInfo,naValueType,activeStatus,replacement,provenance
eatqes_i39,"EATQ (Spanish version), question 39",Se le da bien seguir la pista a cosas diferentes que están ocurriendo a su alrededor,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi siempre falsa | 2, Generalmente falsa | 3, Algunas veces falsa, otras veces cierta | 4, Generalmente cierta | 5, Casi siempre cierta",NA,1,NA,direct-redcap
eatqes_i40,"EATQ (Spanish version), question 40",Se emociona cuando se encuentra en una aglomeración de personas,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi siempre falsa | 2, Generalmente falsa | 3, Algunas veces falsa, otras veces cierta | 4, Generalmente cierta | 5, Casi siempre cierta",NA,1,NA,direct-redcap
eatqes_i41,"EATQ (Spanish version), question 41",Se ríe de las apariencias de otras personas,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi siempre falsa | 2, Generalmente falsa | 3, Algunas veces falsa, otras veces cierta | 4, Generalmente cierta | 5, Casi siempre cierta",NA,1,NA,direct-redcap
eatqes_i42,"EATQ (Spanish version), question 42",No critica a otras personas,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi siempre falsa | 2, Generalmente falsa | 3, Algunas veces falsa, otras veces cierta | 4, Generalmente cierta | 5, Casi siempre cierta",NA,1,NA,direct-redcap
eatqes_i43,"EATQ (Spanish version), question 43",Le gusta tener relaciones cercanas con otras personas,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi siempre falsa | 2, Generalmente falsa | 3, Algunas veces falsa, otras veces cierta | 4, Generalmente cierta | 5, Casi siempre cierta",NA,1,NA,direct-redcap
eatqes_i44,"EATQ (Spanish version), question 44",Es tímido/a,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi siempre falsa | 2, Generalmente falsa | 3, Algunas veces falsa, otras veces cierta | 4, Generalmente cierta | 5, Casi siempre cierta",NA,1,NA,direct-redcap
eatqes_i45,"EATQ (Spanish version), question 45",Le irrita tener que dejar de hacer algo que le gusta,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi siempre falsa | 2, Generalmente falsa | 3, Algunas veces falsa, otras veces cierta | 4, Generalmente cierta | 5, Casi siempre cierta",NA,1,NA,direct-redcap
eatqes_i46,"EATQ (Spanish version), question 46",Generalmente retrasa hacer los trabajos hasta que es el momento de entregarlos,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi siempre falsa | 2, Generalmente falsa | 3, Algunas veces falsa, otras veces cierta | 4, Generalmente cierta | 5, Casi siempre cierta",NA,1,NA,direct-redcap
eatqes_i47,"EATQ (Spanish version), question 47",Puede contener la risa en momentos en que no es apropiado reirse,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi siempre falsa | 2, Generalmente falsa | 3, Algunas veces falsa, otras veces cierta | 4, Generalmente cierta | 5, Casi siempre cierta",NA,1,NA,direct-redcap
eatqes_i48,"EATQ (Spanish version), question 48",Le da miedo la idea de que yo muera o le abandone,s1_r1_e1,Integer,"1, 2, 3, 4, 5","1, Casi siempre falsa | 2, Generalmente falsa | 3, Algunas veces falsa, otras veces cierta | 4, Generalmente cierta | 5, Casi siempre cierta",NA,1,NA,direct-redcap
