record_id,adexi_s1_r1_e1_timestamp,adexi_i1_s1_r1_e1,adexi_i2_s1_r1_e1,adexi_i3_s1_r1_e1,adexi_i4_s1_r1_e1,adexi_i5_s1_r1_e1,adexi_i6_s1_r1_e1,adexi_i7_s1_r1_e1,adexi_i8_s1_r1_e1,adexi_i9_s1_r1_e1,adexi_i10_s1_r1_e1,adexi_i11_s1_r1_e1,adexi_i12_s1_r1_e1,adexi_i13_s1_r1_e1,adexi_i14_s1_r1_e1,adexi_s1_r1_e1_complete,adexi_s1_r2_e1_timestamp,adexi_i1_s1_r2_e1,adexi_i2_s1_r2_e1,adexi_i3_s1_r2_e1,adexi_i4_s1_r2_e1,adexi_i5_s1_r2_e1,adexi_i6_s1_r2_e1,adexi_i7_s1_r2_e1,adexi_i8_s1_r2_e1,adexi_i9_s1_r2_e1,adexi_i10_s1_r2_e1,adexi_i11_s1_r2_e1,adexi_i12_s1_r2_e1,adexi_i13_s1_r2_e1,adexi_i14_s1_r2_e1,adexi_s1_r2_e1_complete,adexi_wm_s1_r1_e1_perc_complete,adexi_wm_s1_r1_e1_scored,adexi_wm_s1_r2_e1_perc_complete,adexi_wm_s1_r2_e1_scored,adexi_inh_s1_r1_e1_perc_complete,adexi_inh_s1_r1_e1_scored,adexi_inh_s1_r2_e1_perc_complete,adexi_inh_s1_r2_e1_scored,adexi_total_s1_r1_e1_perc_complete,adexi_total_s1_r1_e1_scored,adexi_total_s1_r2_e1_perc_complete,adexi_total_s1_r2_e1_scored
130053,10/13/21 13:24,4.0,2.0,3.0,1.0,5.0,5.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,2,10/13/21 13:24,,,,,,,,,,,,,,,0,1.0,24.0,0.0,,1.0,13.0,0.0,,1.0,37.0,0.0,
130055,10/8/21 20:37,2.0,2.0,1.0,1.0,2.0,2.0,5.0,3.0,1.0,3.0,3.0,2.0,1.0,4.0,2,10/8/21 20:37,,,,,,,,,,,,,,,0,1.0,21.0,0.0,,1.0,11.0,0.0,,1.0,32.0,0.0,
130060,10/12/21 16:40,3.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2,10/12/21 16:40,,,,,,,,,,,,,,,0,1.0,17.0,0.0,,1.0,12.0,0.0,,1.0,29.0,0.0,
130061,10/17/21 21:08,4.0,4.0,4.0,3.0,4.0,5.0,3.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,2,10/17/21 21:08,,,,,,,,,,,,,,,0,1.0,29.0,0.0,,1.0,16.0,0.0,,1.0,45.0,0.0,
130064,10/16/21 9:37,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2,10/16/21 9:37,,,,,,,,,,,,,,,0,1.0,18.0,0.0,,1.0,12.0,0.0,,1.0,30.0,0.0,
130069,10/19/21 11:29,3.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,2.0,4.0,3.0,2,10/19/21 11:29,,,,,,,,,,,,,,,0,1.0,27.0,0.0,,1.0,20.0,0.0,,1.0,47.0,0.0,
130071,10/21/21 10:07,2.0,1.0,5.0,3.0,3.0,4.0,5.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2,10/21/21 10:07,,,,,,,,,,,,,,,0,1.0,19.0,0.0,,1.0,15.0,0.0,,1.0,34.0,0.0,
130072,10/22/21 13:25,2.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,2,10/22/21 13:25,,,,,,,,,,,,,,,0,1.0,25.0,0.0,,1.0,14.0,0.0,,1.0,39.0,0.0,
130073,10/23/21 3:23,5.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,2,10/23/21 3:23,,,,,,,,,,,,,,,0,1.0,31.0,0.0,,1.0,15.0,0.0,,1.0,46.0,0.0,
130075,10/23/21 22:34,2.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,2,10/23/21 22:34,,,,,,,,,,,,,,,0,1.0,17.0,0.0,,1.0,15.0,0.0,,1.0,32.0,0.0,
